"target_grade","assignment_preference","trimester_or_semester","age","pay_rent","urinal_choice","stall_choice","weetbix_count","weekly_food_spend","living_arrangements","weekly_alcohol","believe_in_aliens","height","daily_anxiety_frequency","weekly_study_hours","work_status","social_media","gender","average_daily_sleep","sleep_schedule","sibling_count","allergy_count","random_number","favourite_number","favourite_letter","drivers_license","dominant_hand","enrolled_unit","weekly_exercise_hours","weekly_paid_work_hours","assignments_on_time","used_r_before","team_role_type","university_year","wam"
"High Distinction","draw up a schedule and work through it in planned stages","semester",20,"yes","C: Furthest from the entrance","B: Middle",1,150,"With partner","I don't drink alcohol","No",178,5,15,"Casual","Other","Other",8,6,2,2,6,8,"B","Yes","Right","DATA2002",5,0,"Always","Yes",6,"Second year",70
"High Distinction","cram at the last second","semester",19,"no","C: Furthest from the entrance","C: Furthest from the entrance",3,20,"With parent(s) and/or sibling(s)","I don't drink alcohol","No",163,9,10,"Part time","Other","Female",6,4,2,0,3,3,"N","Yes","Right","DATA2902",4,13,"Always","Yes",7,"Second year",82
"Distinction","draw up a schedule and work through it in planned stages","semester",21,"yes","C: Furthest from the entrance","C: Furthest from the entrance",0,200,"Share house","Less than 5 standard drinks","Yes",171,6,17,"Casual","Other","Female",9,8,0,1,8,8,"S","Yes","Right","DATA2002",3,16,"Always","Yes",4,"Third year",75
"High Distinction","draw up a schedule and work through it in planned stages","semester",21,"yes","C: Furthest from the entrance","C: Furthest from the entrance",0,200,"Share house","Less than 5 standard drinks","Yes",175,6,21,"I don't currently work","Instagram","Other",6,8,0,0,6,9,"J","Yes","Right","DATA2002",4,0,"Always","No",10,"Second year",84.8
"High Distinction","draw up a schedule and work through it in planned stages","semester",21,"yes","B: Middle","C: Furthest from the entrance",1,50,"College or student accomodation","I don't drink alcohol","Yes",161,5,35,"Casual","Tiktok","Female",8,9,2,5,2,2,"Z","Yes","Right","DATA2002",5,5,"Always","Yes",9,"Third year",73.2
"Distinction","cram at the last second","semester",20,"no","C: Furthest from the entrance","B: Middle",0,200,"College or student accomodation","Less than 5 standard drinks","Yes",168,8,3,"I don't currently work","Wechat","Female",6,5,5,0,5,4,"J","Yes","Right","DATA2002",2,0,"Always","Yes",7,"First year",66
"Distinction","draw up a schedule and work through it in planned stages","semester",21,"yes","C: Furthest from the entrance","C: Furthest from the entrance",0,200,"Share house","Less than 5 standard drinks","No",170,3,40,"Casual","Youtube","Other",7,9,0,4,7,7,"C","Yes","Ambidextrous","DATA2002",5,10,"Always","Yes",8,"Second year",80
"Pass","draw up a schedule and work through it in planned stages","semester",21,"yes","C: Furthest from the entrance","C: Furthest from the entrance",0,210,"College or student accomodation","Between 5 and 10 standard drinks","Yes",164,4,40,"I don't currently work","Instagram",NA,6,4,0,3,3,8,"W","No","Right","DATA2002",3,0,"Always","Yes",10,"Third year",75
"High Distinction","do them immediately","semester",20,"yes","C: Furthest from the entrance","A: Closest to the entrance",0,150,"College or student accomodation","I don't drink alcohol","No",169,7,20,"Part time","Twitter","Other",7,4,0,1,7,7,"E","Yes","Right","DATA2002",4,0,"Usually","Yes",7,"Second year",75
"High Distinction","cram at the last second","semester",19,"no","C: Furthest from the entrance","B: Middle",2,20,"With parent(s) and/or sibling(s)","Less than 5 standard drinks","Yes",163,7,7,"Part time","Instagram","Female",6,1,1,0,6,8,"E","Yes","Right","DATA2002",4,9,"Usually","Yes",9,"Second year",87
"Distinction","draw up a schedule and work through it in planned stages","semester",20,"no","A: Closest to the entrance","A: Closest to the entrance",2,0,"Sharehouse with Partners and Siblings","Less than 5 standard drinks","Yes",163,4,15,"I don't currently work","Instagram","Other",8,8,1,0,6,7,"S","Yes","Right","DATA2902",0,0,"Always","Yes",7,"Second year",75
"Distinction","draw up a schedule and work through it in planned stages","semester",20,"yes","C: Furthest from the entrance","C: Furthest from the entrance",30,40,"With parent(s) and/or sibling(s)","Less than 5 standard drinks","No",160.02,2,25,"Part time","Instagram","Female",7,8,1,0,10,7,"S","Yes","Right","DATA2002",5,23,"Always","No",10,"Third year",78
"Distinction","do them immediately","semester",20,"yes","C: Furthest from the entrance","A: Closest to the entrance",0,315,"College or student accomodation","I don't drink alcohol","Yes",172,9,7,"I don't currently work","Discord","Other",8,4,1,1,5,7,"Q","Yes","Right","DATA2002",4,0,"Usually","Yes",6,"Second year",73.92
"High Distinction","draw up a schedule and work through it in planned stages","semester",21,"no","A: Closest to the entrance","A: Closest to the entrance",4,75,"With parent(s) and/or sibling(s)","I don't drink alcohol","Yes",182.88,6,15,"Casual","Instagram","Other",7,4,3,0,4,4,"C","Yes","Right","DATA2002",12,15,"Always","Yes",8,"Third year",85
"High Distinction","draw up a schedule and work through it in planned stages","semester",20,"yes","A: Closest to the entrance","B: Middle",1,NA,"College or student accomodation","I don't drink alcohol","Yes",175,4,40,"Full time","Other","Female",7,7,0,0,1,1,"V","Yes","Right","DATA2002",1,0,"Always","Yes",8,"Second year",87
"High Distinction","cram at the last second","semester",19,"no","C: Furthest from the entrance","C: Furthest from the entrance",0,40,"With parent(s) and/or sibling(s)","I don't drink alcohol","Yes",185,4,15,"Contractor","Instagram","Other",8,7,1,0,1,3,"A","Yes","Right","DATA2002",3,13,"Usually","No",8,"Second year",73
"High Distinction","draw up a schedule and work through it in planned stages","semester",19,"yes","C: Furthest from the entrance","B: Middle",7,100,"College or student accomodation","Less than 5 standard drinks","Yes",189,2,40,"I don't currently work","Instagram","Other",9,3,1,2,10,7,"W","Yes","Right","DATA2002",5,0,"Always","No",9,"Second year",67
